"Episode","Length","Reward","IMG","LOG","SAL"
"6099","100.0","2.03","./Center/frames/image6099.gif","./Center/frames/log6099.csv","./frames/sal6099.gif"
"6199","100.0","2.22","./Center/frames/image6199.gif","./Center/frames/log6199.csv","./frames/sal6199.gif"
"6299","100.0","2.46","./Center/frames/image6299.gif","./Center/frames/log6299.csv","./frames/sal6299.gif"
"6399","100.0","2.37","./Center/frames/image6399.gif","./Center/frames/log6399.csv","./frames/sal6399.gif"
"6499","100.0","2.36","./Center/frames/image6499.gif","./Center/frames/log6499.csv","./frames/sal6499.gif"
"6599","100.0","2.47","./Center/frames/image6599.gif","./Center/frames/log6599.csv","./frames/sal6599.gif"
"6699","100.0","2.33","./Center/frames/image6699.gif","./Center/frames/log6699.csv","./frames/sal6699.gif"
"6799","100.0","2.34","./Center/frames/image6799.gif","./Center/frames/log6799.csv","./frames/sal6799.gif"
"6899","100.0","2.26","./Center/frames/image6899.gif","./Center/frames/log6899.csv","./frames/sal6899.gif"
"6999","100.0","2.53","./Center/frames/image6999.gif","./Center/frames/log6999.csv","./frames/sal6999.gif"
"7099","100.0","2.54","./Center/frames/image7099.gif","./Center/frames/log7099.csv","./frames/sal7099.gif"
"7199","100.0","2.62","./Center/frames/image7199.gif","./Center/frames/log7199.csv","./frames/sal7199.gif"
"7299","100.0","2.51","./Center/frames/image7299.gif","./Center/frames/log7299.csv","./frames/sal7299.gif"
"7399","100.0","2.61","./Center/frames/image7399.gif","./Center/frames/log7399.csv","./frames/sal7399.gif"
"7499","100.0","2.55","./Center/frames/image7499.gif","./Center/frames/log7499.csv","./frames/sal7499.gif"
"7599","100.0","2.53","./Center/frames/image7599.gif","./Center/frames/log7599.csv","./frames/sal7599.gif"
"7699","100.0","2.52","./Center/frames/image7699.gif","./Center/frames/log7699.csv","./frames/sal7699.gif"
"7799","100.0","2.64","./Center/frames/image7799.gif","./Center/frames/log7799.csv","./frames/sal7799.gif"
"7899","100.0","2.57","./Center/frames/image7899.gif","./Center/frames/log7899.csv","./frames/sal7899.gif"
"7999","100.0","2.7","./Center/frames/image7999.gif","./Center/frames/log7999.csv","./frames/sal7999.gif"
"8099","100.0","2.58","./Center/frames/image8099.gif","./Center/frames/log8099.csv","./frames/sal8099.gif"
"8199","100.0","2.61","./Center/frames/image8199.gif","./Center/frames/log8199.csv","./frames/sal8199.gif"
"8299","100.0","2.58","./Center/frames/image8299.gif","./Center/frames/log8299.csv","./frames/sal8299.gif"
"8399","100.0","2.75","./Center/frames/image8399.gif","./Center/frames/log8399.csv","./frames/sal8399.gif"
"8499","100.0","2.62","./Center/frames/image8499.gif","./Center/frames/log8499.csv","./frames/sal8499.gif"
"8599","100.0","2.65","./Center/frames/image8599.gif","./Center/frames/log8599.csv","./frames/sal8599.gif"
"8699","100.0","2.5","./Center/frames/image8699.gif","./Center/frames/log8699.csv","./frames/sal8699.gif"
"8799","100.0","2.55","./Center/frames/image8799.gif","./Center/frames/log8799.csv","./frames/sal8799.gif"
"8899","100.0","2.62","./Center/frames/image8899.gif","./Center/frames/log8899.csv","./frames/sal8899.gif"
"8999","100.0","2.7","./Center/frames/image8999.gif","./Center/frames/log8999.csv","./frames/sal8999.gif"
"9099","100.0","2.59","./Center/frames/image9099.gif","./Center/frames/log9099.csv","./frames/sal9099.gif"
"9199","100.0","2.71","./Center/frames/image9199.gif","./Center/frames/log9199.csv","./frames/sal9199.gif"
"9299","100.0","2.68","./Center/frames/image9299.gif","./Center/frames/log9299.csv","./frames/sal9299.gif"
"9399","100.0","2.73","./Center/frames/image9399.gif","./Center/frames/log9399.csv","./frames/sal9399.gif"
"9499","100.0","2.67","./Center/frames/image9499.gif","./Center/frames/log9499.csv","./frames/sal9499.gif"
"9599","100.0","2.71","./Center/frames/image9599.gif","./Center/frames/log9599.csv","./frames/sal9599.gif"
"9699","100.0","2.75","./Center/frames/image9699.gif","./Center/frames/log9699.csv","./frames/sal9699.gif"
"9799","100.0","2.65","./Center/frames/image9799.gif","./Center/frames/log9799.csv","./frames/sal9799.gif"
"9899","100.0","2.76","./Center/frames/image9899.gif","./Center/frames/log9899.csv","./frames/sal9899.gif"
"9999","100.0","2.74","./Center/frames/image9999.gif","./Center/frames/log9999.csv","./frames/sal9999.gif"
