"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0452106","0.00848586","0.0360487","-0.0892289","2.5198"
"1","0.0","0.00348927","0.072842","0.0364007","-0.125622","3.61727"
"1","0.0","0.00913175","0.110032","0.0296753","-0.13344","4.47887"
"1","0.0","-0.00599735","0.115261","0.0746463","-0.148876","5.01767"
"2","0.0","-0.0341205","0.026529","0.217384","-0.140749","5.15757"
"2","0.0","-0.00475496","-0.0240019","0.168189","-0.102347","5.38966"
"2","0.0","0.00660321","-0.0489218","0.151794","-0.112049","5.5633"
"2","0.0","0.034856","-0.0895936","0.130366","-0.120248","5.65948"
"2","0.0","0.0630256","-0.12981","0.106173","-0.121324","5.72462"
"0","0.0","0.087885","-0.164342","0.0820068","-0.118231","5.77058"
"0","0.0","0.146622","-0.14364","-0.00733063","-0.122253","5.79201"
"0","0.0","0.162063","-0.1432","-0.0128983","-0.117799","5.77779"
"0","0.0","0.547479","-0.607811","-0.399741","0.278616","6.53283"
"3","1.0","0.139275","-0.0044236","-0.734989","0.356401","6.66016"
"0","1.0","0.520038","-0.648419","0.11938","-0.35332","6.17987"
"0","0.0","0.115102","-0.11808","-0.0774444","-0.156742","5.67134"
"3","0.0","-0.477535","0.154944","0.062032","0.267863","5.43023"
"0","0.0","0.123673","-0.11196","-0.163027","0.0739328","5.63036"
"3","0.0","0.200299","0.12305","-0.778402","0.259635","5.36239"
"0","0.0","0.0452527","-0.0675623","-0.0543924","0.0426558","5.57648"
"2","0.0","-0.00689818","0.00177761","0.018692","-0.000231331","5.52713"
"3","0.0","-0.0143476","0.0154934","-0.0225792","0.0603954","5.51029"
"1","0.0","-0.0696599","0.0665556","0.0242818","0.05769","5.56315"
"1","0.0","-0.0287582","0.0255709","0.0167144","0.0477045","5.66582"
"1","0.0","-0.0220644","0.0381541","0.0178017","0.0228863","5.64578"
"1","0.0","-0.0155753","0.0689535","-0.0362114","0.0285279","5.56766"
"1","0.0","0.141101","0.241916","-0.714337","0.222059","5.29574"
"1","0.0","-0.195701","0.34272","0.300926","-0.382994","6.42872"
"2","1.0","0.0576635","0.193843","0.302394","-0.662254","6.546"
"1","0.0","-0.0433561","0.0756373","-0.0136099","-0.0900112","5.78533"
"1","0.0","-0.0245295","0.0591294","-0.0293026","-0.0477147","5.72504"
"2","0.0","-0.0264363","-0.0302567","0.078128","-0.0471096","5.65909"
"2","0.0","-0.000735169","-0.074527","0.0775752","-0.0475926","5.67701"
"2","0.0","0.0207908","-0.10853","0.069251","-0.0542176","5.70364"
"2","1.0","0.155783","0.0483931","0.271474","-0.603141","6.67123"
"0","0.0","0.040016","-0.112156","0.0317164","-0.100191","5.99219"
"2","0.0","0.299321","-0.412155","0.340492","-0.340178","6.66825"
"0","1.0","0.40457","-0.981343","0.210043","0.00522281","6.60284"
"0","0.0","0.164901","-0.25119","-0.170796","0.0098379","5.79584"
"0","0.0","0.0898104","-0.130565","-0.175404","0.03573","5.79261"
"0","0.0","0.0962224","-0.141686","-0.159102","0.0568678","5.72123"
"0","0.0","0.0869411","-0.135493","-0.158966","0.0794669","5.70038"
"3","0.0","0.0719089","-0.120438","-0.16331","0.0968406","5.68445"
"0","0.0","0.0809173","-0.092861","-0.127111","0.0605828","5.77822"
"3","0.0","0.0548339","-0.0700734","-0.100372","0.0635394","5.76052"
"3","0.0","0.0474769","-0.0457035","-0.0887969","0.0605651","5.71569"
"2","0.0","0.553989","-0.314423","-0.28515","-0.0715923","6.21295"
"3","0.0","-0.0148096","-0.0559425","-0.101684","0.11297","6.00285"
"0","0.0","0.550283","-0.322744","-0.306648","-0.0646995","6.18439"
"3","1.0","0.123966","0.0918025","-0.796168","0.329309","6.38081"
