"ACTION","REWARD","A0","A1","A2","A3","V"
"3","0.0","-0.381737","0.42535","-0.50939","0.47734","1.79339"
"1","1.0","-0.712802","0.32037","0.193022","0.204512","2.08821"
"1","0.0","-0.0987767","0.0485483","0.0129887","-0.00310668","1.47377"
"1","0.0","-0.0651461","0.033856","0.00911802","0.00789381","1.43093"
"2","0.0","-0.0480913","0.0252183","0.0191843","0.00583431","1.44232"
"2","0.0","-0.0335653","0.0219454","0.0258091","0.00123423","1.45054"
"3","0.0","-0.0232478","0.0217109","0.0317704","-0.00280501","1.4533"
"2","0.0","-0.0163294","0.0227474","0.037434","-0.0057876","1.45285"
"2","0.0","-0.0117399","0.0241486","0.0426044","-0.0078455","1.45057"
"2","0.0","-0.00868165","0.0255029","0.0471665","-0.00923827","1.44733"
"2","0.0","-0.00660864","0.026648","0.0511095","-0.0102063","1.44371"
"2","0.0","-0.0051556","0.0275418","0.0544785","-0.0109301","1.44006"
"1","0.0","-0.0081437","0.0672893","-0.0087525","-0.024314","1.4171"
"1","0.0","-0.00878296","0.067334","-0.0369074","-0.0287861","1.45223"
"1","0.0","-0.0144941","0.0616577","-0.0619402","-0.0218744","1.48484"
"1","0.0","-0.021403","0.0535621","-0.0860887","-0.00858845","1.511"
"3","0.0","0.0328983","-0.0493799","-0.100275","0.0436776","1.43353"
"3","0.0","-0.00775499","-0.0545784","-0.0120924","0.0430909","1.4591"
"3","0.0","-0.0159057","-0.0789116","0.0254606","0.0424899","1.48941"
"2","0.0","-0.00364716","-0.105407","0.0447266","0.0317598","1.49785"
"2","0.0","0.0142635","-0.129343","0.0589238","0.0161817","1.5019"
"2","0.0","0.0331262","-0.150237","0.0710389","-0.000739186","1.50466"
"0","0.0","0.0980544","-0.182435","-0.0136679","0.00910282","1.42816"
"0","0.0","0.0648217","-0.0940586","-0.0510515","-0.0263426","1.47621"
"0","0.0","0.0631914","-0.0851637","-0.0745767","-0.0310632","1.53202"
"0","0.0","0.0549886","-0.0761951","-0.101047","-0.0192846","1.5605"
"0","0.0","0.041296","-0.0663463","-0.124867","-0.000506571","1.5773"
"0","0.0","0.0250808","-0.0562573","-0.145585","0.0204157","1.58853"
"3","0.0","0.00860642","-0.0464951","-0.163435","0.0408341","1.59664"
"3","0.0","-0.00267131","-0.0775729","-0.119092","0.0772267","1.62561"
"3","0.0","-0.016301","-0.069626","-0.10213","0.0979266","1.59513"
"0","0.0","-0.0226127","-0.0570553","-0.0875211","0.105818","1.56572"
"3","0.0","0.344995","-0.567439","-0.476311","0.419952","2.26647"
"0","1.0","0.183432","-0.651025","0.0285033","0.166587","2.4276"
"1","0.0","-0.17415","0.23659","0.163091","-0.430811","2.41439"
"2","1.0","0.124211","0.119157","0.292543","-0.757991","2.52294"
"1","0.0","-0.554945","0.405856","0.381146","-0.350259","2.38532"
"2","1.0","0.072616","0.139279","0.356094","-0.808082","2.56561"
"2","0.0","-0.109158","0.0189085","0.0697076","-0.135472","1.73594"
"2","0.0","-0.0963898","0.00109479","0.053261","-0.0840486","1.59571"
"1","0.0","-0.0693834","0.0406892","-0.0209099","-0.0857775","1.50583"
"1","0.0","-0.0490141","0.0443401","-0.0512492","-0.0811475","1.51529"
"1","0.0","-0.0401217","0.0419061","-0.0754977","-0.0645897","1.53321"
"1","0.0","-0.0370345","0.0366947","-0.0980931","-0.0420376","1.55016"
"1","0.0","-0.0375838","0.0309169","-0.119259","-0.0174994","1.56441"
"1","0.0","-0.0403494","0.0256286","-0.138627","0.00655229","1.57612"
"3","0.0","0.0164466","-0.0729196","-0.147878","0.0649825","1.48877"
"3","0.0","-0.0213656","-0.074041","-0.0552816","0.0674752","1.50388"
"0","0.0","-0.0281034","-0.094016","-0.0124355","0.0677598","1.5271"
"0","1.0","0.495682","-1.2402","-0.160282","0.476674","3.06828"
