"ACTION","REWARD","A0","A1","A2","A3","V"
"3","0.0","0.0540207","-0.0812877","0.0657388","-0.00864363","1.02375"
"2","0.0","0.0597706","-0.0973222","0.0777925","-0.00924087","1.25639"
"2","0.0","0.0720601","-0.118904","0.0819419","-0.0167254","1.38374"
"2","0.0","0.0853386","-0.140358","0.0844718","-0.0289216","1.46308"
"2","0.0","0.0989542","-0.160609","0.0859604","-0.0422205","1.51395"
"2","1.0","0.399813","-0.0305962","0.2045","-0.729895","2.19917"
"0","0.0","0.130126","-0.17558","0.0619817","-0.103505","1.56995"
"2","0.0","0.0497583","-0.129134","0.0343107","-0.0478603","1.57961"
"0","0.0","0.0930203","-0.119098","-0.0369694","-0.0707012","1.52227"
"0","0.0","0.103969","-0.11387","-0.0744668","-0.0641951","1.54703"
"0","0.0","0.0994043","-0.10926","-0.101092","-0.0440094","1.57229"
"0","0.0","0.0887263","-0.104688","-0.124194","-0.0182027","1.59248"
"0","0.0","0.0753812","-0.0996814","-0.144892","0.00860677","1.60792"
"1","0.0","0.0613716","-0.0942702","-0.163249","0.0338256","1.61976"
"0","0.0","0.0478969","-0.0886523","-0.179219","0.0562065","1.6289"
"3","0.0","0.0356186","-0.0830521","-0.192821","0.0753181","1.63597"
"1","0.0","-0.430247","0.466351","-0.58616","0.463341","2.40575"
"3","1.0","0.0722705","-0.00567326","-0.69253","0.307174","2.60752"
"0","0.0","-0.0711317","-0.0675175","-0.2122","0.130564","1.81054"
"3","0.0","-0.0587758","-0.0296319","-0.181049","0.0881483","1.66034"
"3","0.0","-0.0350297","-0.0177153","-0.152414","0.0642376","1.6067"
"3","0.0","-0.0201316","-0.00551889","-0.124246","0.0482481","1.57858"
"0","0.0","0.171972","0.0281104","-0.729931","0.273741","2.38411"
"1","0.0","-0.43419","0.483335","-0.541928","0.380627","2.33416"
"3","1.0","0.0652125","0.0442989","-0.661185","0.216697","2.54341"
"0","0.0","0.355914","-0.59802","-0.506597","0.270794","2.38781"
"3","1.0","0.077875","0.0308144","-0.794086","0.192096","2.45935"
"0","0.0","-0.00955985","-0.081612","-0.19663","-0.0526857","1.73372"
"1","0.0","-0.0142035","0.0193512","-0.181954","-0.055333","1.57154"
"2","0.0","0.011669","0.00268665","-0.0952765","-0.0881938","1.60691"
"0","0.0","0.0195047","0.0165335","-0.0694545","-0.0815","1.58405"
"0","0.0","0.00406752","0.074498","-0.0854489","-0.0350125","1.5208"
"1","0.0","-0.0145593","0.103643","-0.0581036","-0.0181706","1.53554"
"1","0.0","-0.0181144","0.0829039","-0.00251959","-0.0385821","1.59288"
"1","0.0","-0.45522","0.613594","-0.461687","0.358623","2.32765"
"3","1.0","-0.182445","0.521986","-1.07268","0.553946","3.06707"
"1","1.0","-0.798695","0.373696","0.201424","0.170884","2.56365"
"1","0.0","-0.164692","0.152279","-0.0568547","-0.0610649","1.82663"
"1","1.0","-1.21658","0.972711","-0.266018","0.53235","2.9343"
"1","0.0","-0.0171351","0.143895","-0.570675","0.129805","2.6684"
"0","0.0","0.290661","-0.517547","-0.469813","0.23542","2.43514"
"3","1.0","0.0339484","0.0737792","-0.762577","0.170134","2.48515"
"0","0.0","0.0205202","-0.0552177","-0.160022","-0.152387","1.69801"
"0","0.0","0.0429688","0.00329315","-0.108103","-0.210065","1.59255"
"0","0.0","0.0767557","0.0149444","-0.059908","-0.231778","1.55893"
"2","0.0","0.0955142","0.0271391","-0.0192084","-0.239483","1.54782"
"1","0.0","0.0366066","0.0439377","0.00307198","-0.154563","1.60244"
"0","0.0","0.0480781","0.0314225","0.0197318","-0.130411","1.5814"
"0","0.0","0.0498764","0.0294867","0.0279394","-0.109512","1.56254"
"0","0.0","0.04754","0.0289327","0.032212","-0.0911918","1.54456"
