"ACTION","REWARD","A0","A1","A2","A3","V"
"1","0.0","-0.0021782","0.00815524","0.00163088","-0.000238923","0.148623"
"1","0.0","-0.00285275","0.0169978","9.44495e-05","-0.000304246","0.189662"
"1","0.0","-0.00169762","0.0214794","0.000726564","-0.00144773","0.205551"
"1","0.0","-0.000237825","0.023884","0.00166983","-0.00223757","0.212586"
"2","0.0","0.00105723","0.0253602","0.00233412","-0.00253675","0.215783"
"1","0.0","-0.0106174","0.0277601","0.0179635","-0.0145369","0.199606"
"1","1.0","-0.538679","0.525893","0.150321","-0.0751488","1.12875"
"1","0.0","-0.0155832","0.0120674","-0.00731833","0.0122751","0.311143"
"0","0.0","0.0533192","-0.0648248","-0.010791","-0.00132516","0.220605"
"0","0.0","0.0239936","-0.00937071","-0.00546201","-0.0200802","0.2314"
"2","0.0","0.00355089","0.00557694","0.0124274","-0.0321137","0.215265"
"1","0.0","-0.90037","0.390188","0.197503","0.441328","0.0385589"
"1","0.0","-0.0386502","0.0480644","-0.00215299","0.042957","0.229319"
"0","0.0","0.0899206","-0.0564728","-0.0217087","0.00894322","0.200627"
"0","0.0","0.0572452","-0.00427793","-0.0127673","-0.0075565","0.211246"
"3","0.0","-0.868994","0.39071","0.190866","0.45553","0.0205356"
"1","0.0","-0.0277522","0.0498747","0.01229","0.0398518","0.197315"
"2","0.0","0.0626293","0.0168728","-0.0131992","0.00297438","0.205114"
"0","0.0","0.0572499","0.0171118","-0.00881452","0.00287559","0.203485"
"3","0.0","-0.867118","0.402682","0.192848","0.467325","0.0134542"
"1","0.0","-0.0257128","0.0577766","0.0129143","0.0500204","0.192005"
"0","0.0","0.0644122","0.0226411","-0.013186","0.0111308","0.201143"
"0","0.0","0.0460194","0.02288","0.00620381","-0.00281818","0.182926"
"0","0.0","0.224073","0.182845","-0.625049","0.183145","-0.144942"
"1","0.0","-0.00567459","0.0331607","-0.0573082","0.0218871","0.191497"
"0","0.0","0.194881","0.157781","-0.637197","0.172731","-0.132238"
"3","0.0","-0.0249618","0.0124867","-0.0655139","0.00667372","0.19808"
"0","0.0","0.000116615","-0.0164697","-0.0226088","-0.0190121","0.217881"
"0","0.0","0.00610009","-0.0043116","-0.0199077","-0.019916","0.214642"
"0","1.0","0.354073","-0.60163","-0.011099","0.0141927","1.12416"
"0","1.0","0.352582","-0.632943","-0.0613691","0.0182581","1.14947"
"0","0.0","0.00830365","-0.0450161","-0.063172","-0.0498097","0.233231"
"1","0.0","-0.00514835","0.00569646","-0.00155522","-0.0789795","0.186049"
"0","0.0","0.0182014","0.00536805","0.00781261","-0.0669326","0.226182"
"1","0.0","-0.00714173","0.0285845","0.0281469","-0.0555692","0.214007"
"1","0.0","0.0103665","0.0235436","0.0197261","-0.0404564","0.237712"
"1","0.0","0.0105963","0.0273193","0.0175005","-0.029427","0.2396"
"1","0.0","0.00892539","0.0301043","0.0161657","-0.0218887","0.237616"
"1","0.0","0.00740175","0.0315543","0.0145865","-0.0165619","0.234664"
"1","0.0","0.00628475","0.0320815","0.0128006","-0.0127195","0.231598"
"1","0.0","0.00554389","0.0320505","0.0110022","-0.00991939","0.228756"
"0","0.0","0.00509862","0.0317199","0.00933454","-0.00786713","0.226271"
"1","0.0","0.0048686","0.0312592","0.00787285","-0.00635754","0.224176"
"1","0.0","0.00478665","0.0307711","0.00664249","-0.00524475","0.222455"
"0","0.0","0.0462595","-0.0427827","0.000934176","0.00350106","0.204537"
"0","0.0","0.0168879","0.00923099","0.00222217","-0.0116231","0.220553"
"1","0.0","0.0122677","0.0191273","0.0032904","-0.0130038","0.221719"
"1","0.0","0.0104502","0.0226083","0.0038427","-0.0116841","0.221178"
"0","0.0","0.0505286","-0.0485687","-0.000724683","-0.0019635","0.204016"
"3","0.0","0.0200646","0.00502586","0.00135106","-0.0160375","0.220526"
