"ACTION","REWARD","A0","A1","A2","A3","V"
"2","1.0","0.232142","0.117146","0.3354","-0.733932","2.25177"
"2","0.0","-0.545434","0.247329","0.0462607","0.239348","2.55634"
"1","0.0","-0.44329","0.348237","-0.405959","0.464007","2.64126"
"1","0.0","0.0219901","0.162257","-0.672211","0.244384","2.94628"
"2","0.0","0.117042","-0.0284505","-0.680751","0.308439","2.81823"
"3","0.0","0.00827494","-0.119561","-0.0567371","0.0158193","2.24101"
"3","1.0","0.140085","-0.0440891","-0.723294","0.312434","2.92536"
"0","0.0","0.0447544","-0.164697","-0.0585587","0.00349055","2.26827"
"0","0.0","0.00568826","-0.0994624","-0.0449892","-0.00942458","2.34928"
"3","0.0","-0.756195","0.183678","0.231646","0.344393","1.9948"
"0","0.0","0.0136503","0.0432149","-0.12874","-0.0817548","2.22024"
"0","0.0","0.200423","0.0324548","-0.46883","0.00524818","2.13587"
"0","0.0","0.0649186","-0.163204","0.0198299","-0.0563127","2.25892"
"0","0.0","0.0430649","-0.0989426","-0.0276927","-0.00511061","2.27735"
"0","0.0","0.0363538","-0.0758244","-0.00459614","-0.00496316","2.28314"
"0","0.0","0.0248617","-0.05059","0.00926643","-6.38192e-05","2.27322"
"1","0.0","-0.0614813","0.0461605","-0.0205252","0.0647529","2.22218"
"2","0.0","-0.0147293","0.0058334","0.0445556","-0.0060045","2.27443"
"2","0.0","-0.0225906","0.0236076","0.0344702","0.00729955","2.24526"
"1","0.0","0.134393","0.150656","-0.441923","0.0807097","2.09434"
"1","0.0","-0.00881743","0.0972169","-0.055965","-0.0421001","2.18419"
"1","1.0","-0.904597","0.659492","0.482768","-0.231658","3.68982"
"2","1.0","0.0114331","0.217828","0.301167","-0.692044","3.17957"
"3","0.0","-0.0629906","-0.0599658","0.108416","-0.0703481","2.44505"
"2","0.0","-0.0203209","-0.0269304","0.0590424","-0.0848569","2.37671"
"2","0.0","-0.0225007","-0.0264668","0.0834799","-0.0802507","2.31087"
"2","0.0","-0.0164525","-0.0195026","0.0711798","-0.0611397","2.27697"
"1","0.0","-0.0198196","0.0376119","-0.0289798","-0.0510099","2.25459"
"1","0.0","-0.0125446","0.0288584","-0.0605301","-0.0480613","2.28407"
"1","0.0","-0.00799894","0.014487","-0.0952392","-0.0332315","2.32136"
"2","0.0","-0.00210937","-0.0058418","-0.127009","-0.014462","2.35597"
"2","0.0","0.00300193","-0.025317","-0.155893","0.00488778","2.38741"
"3","0.0","0.00684035","-0.0421343","-0.181242","0.0233706","2.41447"
"3","0.0","0.0172849","-0.106043","-0.117768","0.0506355","2.43283"
"3","0.0","0.0102652","-0.0994336","-0.109052","0.0764971","2.40659"
"3","0.0","0.00343238","-0.0831848","-0.0927476","0.0858128","2.37245"
"0","0.0","-0.006022","-0.0587795","-0.0735332","0.0855255","2.33943"
"3","0.0","-0.799166","0.251874","0.217419","0.43466","1.99636"
"1","0.0","-0.0205277","0.103119","-0.138326","-0.00798771","2.20888"
"2","0.0","0.00347648","-0.0243287","0.00637264","-0.00707644","2.25624"
"3","0.0","0.00189892","-0.0233401","0.00156166","0.0249207","2.25028"
"3","0.0","-0.00256929","-0.011287","0.0138034","0.026997","2.24721"
"2","0.0","-0.00926882","0.00378375","0.0248681","0.0248805","2.23865"
"2","0.0","-0.0147239","0.0164771","0.0352269","0.0210931","2.22576"
"2","0.0","-0.0191294","0.0273045","0.0447264","0.0161198","2.21255"
"2","0.0","-0.0225021","0.0360676","0.0532798","0.0106974","2.20035"
"2","0.0","-0.0249009","0.0428402","0.0607684","0.00531823","2.18971"
"2","0.0","-0.0264636","0.0478684","0.067171","0.000258928","2.18075"
"1","0.0","-0.0341681","0.1015","-0.0211048","-0.011252","2.18379"
"1","0.0","0.00690289","0.0438046","-0.0413389","-0.0110403","2.0649"
