"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0302735","-0.0220136","0.0234398","0.000754228","1.70896"
"3","0.0","0.00696452","0.00370781","-0.00822643","0.0499179","2.27092"
"1","0.0","-0.00812768","0.054265","0.0403477","-0.0229987","2.67475"
"1","0.0","-0.0455181","0.11573","0.06051","-0.0470965","2.96223"
"1","0.0","-0.0576358","0.147244","0.0978288","-0.0851098","3.14022"
"1","0.0","-0.0619129","0.162708","0.139666","-0.124386","3.25547"
"2","0.0","0.00353627","0.0790135","0.208355","-0.160782","3.19483"
"2","0.0","0.0105488","0.0349461","0.195321","-0.124144","3.3196"
"2","0.0","0.0302298","-0.0139286","0.183044","-0.120757","3.38495"
"2","1.0","0.197637","0.0535164","0.366639","-0.709044","4.07555"
"2","0.0","0.01647","-0.119852","0.101653","-0.0778737","3.486"
"0","0.0","0.335208","-0.0181125","0.2652","-0.684861","4.30334"
"2","1.0","0.116523","-0.0117978","0.317215","-0.602507","4.17295"
"0","0.0","0.0202375","-0.0838968","0.026714","-0.0975608","3.46276"
"3","0.0","-0.0479484","-0.19675","-0.288313","0.333266","3.75267"
"0","1.0","0.84638","-1.16222","-0.443243","0.319981","4.57778"
"3","1.0","-0.0464397","0.434832","-1.61073","0.713669","3.75902"
"3","0.0","0.0487762","-0.130992","-0.212418","0.0648441","3.23922"
"3","0.0","0.029829","-0.120751","-0.108609","0.0374053","3.23894"
"3","0.0","0.0387521","-0.0965784","-0.101085","0.0360737","3.23552"
"3","0.0","0.0379473","-0.0716429","-0.0862754","0.0332028","3.2312"
"0","0.0","0.0128389","-0.0109277","-0.0192035","-0.038552","3.20953"
"1","0.0","-0.0263413","0.0643678","0.0138352","-0.0657984","3.2529"
"1","0.0","-0.0467438","0.112056","0.0610345","-0.0993221","3.29367"
"1","0.0","-0.0581928","0.14076","0.110929","-0.133146","3.33466"
"2","0.0","-0.0632359","0.156554","0.155945","-0.165136","3.36929"
"2","0.0","-0.046454","0.136178","0.15327","-0.135653","3.41277"
"2","0.0","-0.0156652","0.0852026","0.172087","-0.139058","3.38944"
"2","1.0","0.13703","0.140514","0.394131","-0.701363","4.04018"
"2","0.0","-0.0625474","0.042907","0.117424","-0.0964079","3.42922"
"2","1.0","0.129008","0.123938","0.325123","-0.675817","3.97877"
"2","0.0","-0.0788867","0.0344139","0.0535415","-0.0635146","3.38111"
"3","0.0","-0.0273836","0.0299315","0.0306903","-0.0728131","3.27898"
"2","0.0","-0.0193249","0.0144473","0.0350555","-0.058595","3.25952"
"2","0.0","-0.0109491","0.0065467","0.0297242","-0.0468473","3.24289"
"1","0.0","-0.00802106","0.00529715","-0.0231408","-0.0229215","3.23657"
"3","0.0","0.00373317","-0.0600573","-0.0481033","0.0322567","3.19594"
"0","0.0","0.0317144","-0.0699738","-0.0118661","-0.0144262","3.27105"
"2","0.0","0.015022","-0.0293691","-0.0343831","-0.00562964","3.321"
"0","0.0","0.0204934","-0.034424","-0.0709553","0.00297762","3.3147"
"0","0.0","0.0297342","-0.0393037","-0.0846162","-0.00335682","3.346"
"0","0.0","0.0276313","-0.0431851","-0.0993861","0.00571963","3.37773"
"0","1.0","0.396264","-0.684499","-7.14795e-05","0.0924674","4.0919"
"3","0.0","0.0170484","-0.10008","-0.166991","0.123277","3.46872"
"3","1.0","0.228385","0.0286388","-0.865197","0.343323","4.16658"
"3","0.0","-0.0233544","-0.081976","-0.136088","0.135418","3.48265"
"3","0.0","0.315328","-0.970659","0.144107","0.352535","3.00837"
"3","0.0","0.00445308","-0.0530622","-0.170818","0.117837","3.18917"
"3","0.0","0.0106387","-0.0273323","-0.0713825","0.0384324","3.24904"
"3","0.0","-0.00509948","-0.0117117","-0.0513587","0.0414458","3.26974"
