"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0711133","-0.109603","0.0281028","0.00704868","2.53266"
"2","0.0","0.360585","-0.342944","0.552425","-0.586262","5.40939"
"0","1.0","0.340023","-0.854711","0.208378","0.0657398","6.13761"
"0","0.0","0.149428","-0.0831142","-0.130947","-0.04156","5.60623"
"3","0.0","0.0400157","-0.0572033","-0.0114505","-0.00285433","5.70853"
"0","0.0","0.0575597","-0.0545615","-0.0146627","-0.00219878","5.73279"
"2","0.0","-0.00884666","0.0179325","0.033374","0.00506779","5.68494"
"2","0.0","-0.0457124","0.0313219","0.0572853","0.0382486","5.73675"
"3","0.0","-0.0752398","0.0502922","0.067221","0.0560124","5.7658"
"3","0.0","-0.101603","0.0719757","0.0755367","0.0646406","5.78546"
"1","0.0","-0.124453","0.0917933","0.0843549","0.0683462","5.80156"
"3","0.0","-0.0779902","0.0434416","0.0531638","0.0626958","5.87251"
"3","1.0","0.0662278","0.174683","-0.693564","0.353505","6.62586"
"3","0.0","-0.0646547","0.0359577","0.00850519","0.010371","5.84122"
"3","1.0","0.0716135","0.164117","-0.725564","0.340278","6.55503"
"3","0.0","-0.0393165","-0.000931217","-0.0247502","0.00300796","5.81138"
"1","0.0","-0.0149608","0.0668738","-0.0304832","-0.0617177","5.7483"
"1","0.0","-0.0116646","0.0414207","0.0230576","-0.0714009","5.78533"
"2","0.0","-0.00552541","0.0397413","0.0593609","-0.0923929","5.80815"
"2","0.0","-0.00592614","-0.0164892","0.0937263","-0.0545888","5.85747"
"2","0.0","0.00596346","-0.00284658","0.0913316","-0.0738838","5.84951"
"2","0.0","0.0153917","0.000583931","0.0877437","-0.0793333","5.83275"
"2","0.0","0.0236575","-0.000901962","0.0781628","-0.0750793","5.80987"
"2","0.0","0.029833","-0.00332541","0.0666116","-0.0670963","5.78632"
"2","0.0","0.0338867","-0.00544402","0.0556396","-0.0583529","5.76555"
"0","0.0","0.0433047","0.0052595","0.00149047","-0.0396847","5.71276"
"2","0.0","0.284891","-0.268336","0.465762","-0.464015","6.70002"
"0","1.0","0.268479","-0.882526","0.265404","0.08142","6.70007"
"0","0.0","0.141296","-0.136427","-0.170292","0.0194597","5.90768"
"3","0.0","-0.0335679","-0.0260677","-0.0661594","0.0612675","5.8639"
"3","0.0","-0.0322721","-0.0126807","-0.0208822","0.0549465","5.88315"
"3","0.0","-0.0571743","0.00154186","-9.8482e-06","0.078007","5.89442"
"3","0.0","-0.0819597","0.03148","0.0122472","0.0887551","5.89224"
"3","0.0","-0.108413","0.0617276","0.0303197","0.091529","5.89015"
"2","0.0","-0.130821","0.0877546","0.0482098","0.0900084","5.88509"
"1","0.0","-0.148882","0.108353","0.0646882","0.0866179","5.87901"
"3","0.0","-0.0980307","0.0586624","0.0399376","0.0761906","5.93139"
"0","0.0","-0.0799244","0.071291","0.0338214","0.0356141","5.87758"
"1","0.0","-0.129324","0.135384","0.0780695","0.0180175","5.78178"
"1","0.0","-0.0779231","0.0626952","0.0589053","0.0323463","5.8604"
"1","0.0","-0.0563306","0.0611322","0.0460937","0.0076046","5.81823"
"1","0.0","-0.0413018","0.0563415","0.0440312","-0.00731945","5.7909"
"1","0.0","-0.0277466","0.0472408","0.042826","-0.0156017","5.77152"
"2","0.0","-0.0149215","0.0376301","0.0398162","-0.0201098","5.75486"
"2","0.0","-0.00410199","0.0287299","0.0364781","-0.0222469","5.74143"
"2","0.0","0.00478806","0.0210658","0.0330619","-0.0229771","5.73093"
"3","0.0","0.175135","0.200958","-0.65822","0.149337","5.40466"
"2","0.0","-0.0106733","-0.00141805","0.018772","0.00528374","5.65662"
"1","0.0","0.177487","0.182987","-0.683484","0.153397","5.36674"
"1","1.0","-0.753396","0.474377","0.163736","0.222079","6.79305"
