"ACTION","REWARD","A0","A1","A2","A3","V"
"1","0.0","0.0336362","0.0475524","-0.0280254","-0.0258276","0.589301"
"2","0.0","0.0011521","0.0564626","0.0284148","-0.0469782","0.755952"
"1","0.0","-0.023149","0.0644315","0.04704","-0.0348177","0.835556"
"1","0.0","-0.0156914","0.0622179","0.0427107","-0.0309895","0.863151"
"1","0.0","-0.396875","0.464345","0.318691","-0.302456","1.79398"
"2","1.0","0.250919","0.206013","0.358853","-0.863428","2.03426"
"2","0.0","-0.0927284","0.0354164","0.099024","-0.058708","1.31919"
"2","0.0","-0.0566856","0.0201407","0.0702984","-0.0687585","1.19881"
"2","0.0","-0.0438771","0.0267356","0.0472368","-0.0597816","1.08392"
"2","0.0","-0.0359186","0.0323703","0.0348197","-0.0495667","1.01547"
"1","0.0","-0.0300623","0.0376046","0.0271844","-0.0405179","0.969701"
"1","0.0","-0.025101","0.0412971","0.0227867","-0.0331778","0.938233"
"1","0.0","-0.0207479","0.0435118","0.0204787","-0.0274485","0.916179"
"1","0.0","-0.0169384","0.0445867","0.0194964","-0.023092","0.90056"
"2","0.0","0.0172827","-0.0325949","0.00828992","0.0122469","0.831691"
"0","0.0","0.0887463","-0.0281873","-0.0791303","-0.0184862","0.777101"
"0","0.0","0.288737","0.141065","-0.78671","0.185698","0.622287"
"2","0.0","0.0361404","-0.116565","0.102939","-0.117106","0.904837"
"0","0.0","0.200958","-0.655645","0.161218","0.102323","0.565017"
"0","0.0","0.0891136","-0.0869494","-0.0900679","-0.0913571","0.893057"
"0","0.0","0.0674271","-0.0417427","-0.108566","-0.0787343","0.93855"
"0","0.0","0.0496348","-0.0334951","-0.126553","-0.0463078","0.98858"
"0","0.0","0.0340072","-0.0281286","-0.144004","-0.0195491","1.02134"
"3","0.0","0.0209035","-0.0253896","-0.159316","0.0025274","1.04324"
"3","0.0","-0.0373671","-0.016992","-0.108057","0.0475781","1.06789"
"3","0.0","-0.372976","0.349817","-0.551468","0.507606","1.90996"
"1","1.0","-0.748668","0.465553","0.129991","0.165069","2.05693"
"1","0.0","-0.118617","0.125381","-0.0519668","0.0234755","1.17468"
"3","0.0","-0.0933046","0.029746","-0.0156694","0.054715","1.09717"
"3","0.0","-0.0727604","0.0257964","-0.0187388","0.0403133","1.04851"
"3","0.0","-0.0573585","0.0301575","-0.0176721","0.0252667","1.00836"
"1","0.0","-0.0454891","0.0345639","-0.0138219","0.0142475","0.975649"
"1","0.0","-0.0362318","0.0380991","-0.00883832","0.00658785","0.949663"
"0","0.0","-0.0289301","0.0406601","-0.00366244","0.00137237","0.929251"
"1","0.0","-0.0231155","0.0423485","0.00121957","-0.00214441","0.913336"
"1","0.0","-0.018449","0.043336","0.00557944","-0.00451719","0.900992"
"1","0.0","-0.0146798","0.0437989","0.00933682","-0.00613795","0.891452"
"3","0.0","-0.343879","0.401265","-0.465735","0.458575","1.78852"
"1","1.0","-0.798169","0.524289","0.220051","0.148804","2.0251"
"1","0.0","-0.0517057","0.0843708","-0.00236945","-0.00838348","1.01618"
"2","0.0","-0.00718865","-0.081018","0.0485842","0.0179189","0.977922"
"2","0.0","0.0393947","-0.136818","0.0466518","-0.0146162","0.971789"
"0","0.0","0.448492","-0.0650096","0.283744","-0.737878","1.98844"
"2","1.0","0.327334","0.0185124","0.419198","-0.871137","2.062"
"2","0.0","0.0106627","-0.101553","0.137193","-0.130121","1.38991"
"2","0.0","0.0158591","-0.0698914","0.0936716","-0.132229","1.25237"
"0","0.0","-0.377072","0.370926","0.330881","-0.377114","1.99739"
"2","0.0","-0.0674577","0.0418579","0.0774351","-0.14396","1.42355"
"2","0.0","-0.00666466","-0.0340242","0.0953446","-0.150631","1.24203"
"2","0.0","0.151928","-0.585658","0.175459","0.0660361","0.775752"
