"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","-0.264385","0.129468","0.217973","-0.00416399","1.9139"
"2","0.0","0.0312916","0.0162154","0.0333413","-0.0539017","2.80122"
"2","0.0","0.477756","-0.397262","0.422552","-0.559165","4.46421"
"0","1.0","0.67478","-1.0939","0.524841","-0.299789","5.30127"
"2","1.0","0.0540182","0.0691527","0.448312","-0.711627","4.9275"
"2","0.0","-0.0901184","-0.00903362","0.188409","-0.177167","4.29973"
"2","0.0","-0.0459279","0.0174043","0.074291","-0.107182","4.19501"
"2","0.0","-0.0529516","-0.00137656","0.0614614","-0.0456836","4.17048"
"2","0.0","0.424751","-0.416145","0.396227","-0.525182","4.87264"
"2","0.0","0.218997","-0.774291","0.259202","0.0656214","4.87871"
"0","1.0","0.291463","-0.765547","0.126489","0.10772","4.66729"
"0","0.0","0.0465347","-0.118346","-0.114707","0.0117477","4.20906"
"0","0.0","0.0418044","-0.112708","-0.14285","0.0256687","4.3146"
"3","0.0","-0.0514507","-0.124489","-0.168915","0.151363","4.14118"
"3","0.0","-0.0834148","-0.00749945","-0.183769","0.122305","4.16967"
"3","1.0","0.173848","0.0118129","-0.896656","0.379049","5.02327"
"3","0.0","-0.165476","0.0154909","-0.186503","0.19424","4.27801"
"1","0.0","0.15029","0.0516654","-0.888047","0.355369","5.06162"
"3","0.0","0.292115","-0.496276","-0.515859","0.401335","4.90067"
"3","0.0","0.170426","-0.601926","-0.0446676","0.208344","4.81054"
"1","0.0","-0.135033","0.123663","-0.0601262","-0.0978322","5.18468"
"3","1.0","0.0146748","-0.0161939","-0.70822","0.358941","5.12628"
"1","0.0","-0.0964601","0.0018803","-0.108845","0.0136519","4.32349"
"1","0.0","0.135692","0.18193","0.0593142","-0.563976","4.08833"
"2","0.0","-0.0666545","-0.0507231","0.0331648","-0.017708","4.20035"
"3","0.0","-0.0681456","-0.0228816","-0.0254701","0.0303586","4.20298"
"2","0.0","-0.0438826","-0.0245681","-0.00349917","0.00947972","4.18248"
"3","0.0","-0.0527441","-0.0267509","-0.0071496","0.0401479","4.18213"
"2","0.0","-0.0306631","-0.025148","0.0171579","0.00568678","4.16792"
"3","0.0","-0.0421094","-0.0258888","0.00919966","0.033989","4.1686"
"2","0.0","-0.022051","-0.0234729","0.0289861","-0.000490718","4.15607"
"2","0.0","-0.0352391","-0.0241756","0.0175818","0.0288333","4.15815"
"3","0.0","-0.0317142","-0.0237149","0.0167496","0.0268093","4.15458"
"2","0.0","-0.0290935","-0.0248511","0.01814","0.0254494","4.14972"
"2","0.0","-0.0269291","-0.0256568","0.018892","0.024582","4.14603"
"2","0.0","-0.0253009","-0.0262072","0.0191446","0.0242847","4.14306"
"2","1.0","0.0697012","0.122554","0.34821","-0.615626","4.97472"
"2","0.0","-0.302489","0.310556","0.354392","-0.408568","4.98021"
"1","1.0","-0.660618","0.342022","0.225379","0.0609301","5.03149"
"1","0.0","-0.148051","0.0638841","0.0524416","-0.0445831","4.36557"
"1","1.0","-0.603776","0.335829","0.164678","0.109268","4.9134"
"3","0.0","-0.104244","0.0158604","0.0495098","-0.0388464","4.33487"
"2","0.0","0.087049","-0.619994","0.291898","0.15751","4.09284"
"1","0.0","-0.0556067","0.049153","-0.0124251","-0.0599644","4.2537"
"0","0.0","0.156652","0.00363289","0.122267","-0.455069","3.86746"
"2","0.0","0.00284147","-0.0555509","0.0502957","-0.0997522","4.12181"
"0","0.0","0.0600564","-0.10615","-0.07106","-0.0315168","4.16805"
"0","0.0","0.0656106","-0.108245","-0.10996","-0.0094358","4.22174"
"1","0.0","0.0626704","-0.116464","-0.135952","0.0151018","4.26955"
"0","0.0","0.05802","-0.121356","-0.160794","0.0382839","4.2963"
