"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","0.00289635","0.00227173","0.00707418","-0.000530768","0.0384734"
"3","0.0","0.141889","0.141629","-0.531843","0.147735","-0.121105"
"3","0.0","0.0113823","-0.0277852","-0.0538037","-0.00139268","0.0634767"
"3","0.0","-0.316671","0.270785","-0.290292","0.352701","0.463777"
"1","1.0","-0.47848","0.709871","-0.160104","-0.0790228","0.691308"
"1","0.0","-0.118428","0.126616","-0.0318943","0.0105623","0.159187"
"2","0.0","-0.0175872","0.0227689","-0.0109156","-0.00132703","0.0763603"
"0","0.0","0.0102562","0.00907959","-0.00825469","-0.00971619","0.0713522"
"0","0.0","0.0035934","0.0243498","-0.0127202","-0.00499456","0.0774458"
"1","0.0","0.00304077","0.0279458","-0.00956988","-0.00355221","0.0779971"
"1","0.0","0.00462944","0.0277273","-0.00534512","-0.00235286","0.0764106"
"0","0.0","0.0223592","0.0112371","0.00563209","-0.00907331","0.0709901"
"0","0.0","0.0139276","0.0213057","0.00261967","-0.00180764","0.072208"
"0","0.0","0.0124793","0.0227825","0.00453076","0.000965396","0.0713144"
"0","0.0","0.0128603","0.0226468","0.00663058","0.00253859","0.0706382"
"2","0.0","0.0135419","0.0223907","0.0082622","0.00375003","0.0704103"
"2","0.0","0.0141333","0.0222676","0.00946582","0.00477592","0.0704817"
"2","0.0","0.0145742","0.0222675","0.010354","0.00564203","0.0707021"
"1","0.0","-0.261806","0.351503","0.318949","-0.374675","0.460823"
"2","1.0","-0.08989","-0.295081","0.682876","-0.285599","0.371374"
"2","0.0","0.266412","-0.217642","0.286857","-0.381719","0.489465"
"0","1.0","0.562387","-0.311677","-0.167256","-0.240829","0.560352"
"0","0.0","0.0730864","-0.0286901","-0.0256492","-0.0790985","0.172163"
"2","0.0","-0.00610522","0.00495442","0.0177808","-0.0468428","0.095643"
"2","0.0","-0.0109949","0.00501775","0.0287531","-0.0351996","0.082194"
"2","0.0","-0.00452757","0.00496344","0.0278143","-0.0264808","0.0792298"
"2","0.0","0.000562805","0.00778775","0.0234766","-0.0182455","0.0766098"
"2","0.0","0.00318549","0.0118206","0.0188488","-0.0108635","0.0735508"
"2","0.0","0.00424207","0.0156823","0.0149137","-0.00474928","0.0706342"
"2","0.0","0.00455353","0.0187597","0.011862","6.93429e-06","0.068251"
"1","0.0","0.00459966","0.020934","0.00961201","0.0035357","0.066502"
"1","0.0","0.00460966","0.0223175","0.00800912","0.00605884","0.0653267"
"1","0.0","0.00467087","0.0230964","0.00689963","0.00780925","0.0646067"
"1","0.0","0.00480102","0.0234543","0.00615401","0.00899275","0.0642197"
"1","0.0","0.00498856","0.0235424","0.00567078","0.00977533","0.0640617"
"0","0.0","0.0190741","0.0126241","0.00726539","0.00591914","0.0643682"
"1","0.0","0.00989623","0.0205196","0.00527575","0.00953045","0.0644126"
"0","0.0","0.0212315","0.0113569","0.0070681","0.00606036","0.0645444"
"1","0.0","0.0111997","0.0196886","0.0053146","0.00957546","0.0645267"
"0","0.0","0.0221992","0.0107034","0.00721976","0.00600453","0.0646795"
"1","0.0","0.0119757","0.019166","0.00550318","0.0094846","0.0647114"
"0","0.0","0.0228284","0.0102981","0.00740801","0.00592372","0.0649057"
"1","0.0","0.0124837","0.0188628","0.00567742","0.00943341","0.0649637"
"0","0.0","0.0232346","0.0100803","0.00756255","0.0059049","0.0651655"
"1","0.0","0.0128068","0.0187129","0.00581201","0.00944209","0.0652185"
"0","0.0","0.023491","0.00998289","0.00767749","0.00593352","0.0654051"
"1","0.0","0.0130108","0.0186549","0.00590919","0.00948327","0.0654377"
"0","0.0","0.0236541","0.0099539","0.00775837","0.00598116","0.0656007"
"2","0.0","0.0131425","0.0186466","0.00597602","0.00953272","0.0656097"
"2","0.0","0.00990268","0.0208088","0.00592349","0.010395","0.0654382"
