"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","0.0482792","-0.0777782","0.0649011","-0.0114687","1.77405"
"3","0.0","0.0175183","-0.0613119","-0.0202246","0.0720018","2.29742"
"2","0.0","0.0264957","-0.0737347","0.0401693","0.0192927","2.78481"
"3","0.0","0.0275247","-0.0820844","-0.028277","0.0558166","3.00433"
"0","0.0","0.0358686","-0.105409","0.0160914","0.015516","3.21119"
"0","0.0","0.0227713","-0.0769186","-0.0169823","0.0213902","3.34483"
"0","0.0","0.0283881","-0.0794195","-0.0261864","0.0147849","3.3683"
"0","0.0","0.0334295","-0.0747511","-0.0321249","0.0069152","3.35977"
"0","0.0","0.0308216","-0.0635042","-0.0350345","0.00294655","3.34527"
"0","0.0","0.024519","-0.0501935","-0.0361432","0.00152804","3.32931"
"0","0.0","0.0168056","-0.0367581","-0.0359246","0.00116222","3.31406"
"0","0.0","0.0089676","-0.0242695","-0.0347279","0.00104337","3.30044"
"3","0.0","-0.0537905","0.00868522","-0.0156602","0.0390825","3.28117"
"3","0.0","-0.0783553","0.0343203","-0.00352375","0.0416996","3.31109"
"3","0.0","-0.104784","0.0639732","0.003693","0.0471371","3.3449"
"1","0.0","-0.131265","0.0951252","0.0099054","0.0512691","3.3797"
"1","0.0","-0.100653","0.101757","0.00103408","0.0156317","3.41719"
"3","0.0","0.0908806","-0.694411","0.276824","0.311778","3.10821"
"3","1.0","0.135346","0.284455","-1.01184","0.312629","4.13985"
"0","0.0","-0.153376","0.0755621","-0.0472986","0.0457034","3.43516"
"2","0.0","-0.0960686","0.0792935","-0.058531","0.00640363","3.3943"
"1","0.0","-0.0851729","0.0643724","-0.0577958","0.0172479","3.36852"
"1","0.0","-0.0851077","0.0427633","-0.0492794","0.0171861","3.31013"
"1","0.0","-0.328057","0.72844","-1.11111","0.557156","3.86839"
"3","1.0","0.0272208","0.164238","-0.912428","0.410889","4.19712"
"1","0.0","0.0638304","0.237687","0.0843562","-0.572096","3.25422"
"1","0.0","-0.481496","0.504775","-0.515326","0.384149","4.04291"
"3","1.0","0.0482912","0.120019","-0.929477","0.410145","4.16634"
"3","0.0","-0.143397","0.0189673","-0.155762","0.122961","3.42284"
"1","0.0","-0.0548956","0.0413358","-0.112473","0.00447423","3.32595"
"1","0.0","-0.0500508","0.0497315","-0.0689938","-0.0117035","3.34087"
"2","0.0","-0.0210333","-0.0215935","0.0372431","-0.0349276","3.25922"
"2","1.0","0.185457","0.12376","0.365512","-0.825448","4.09122"
"2","0.0","-0.0518163","-0.0827508","0.020999","-0.00109437","3.38107"
"1","0.0","-0.026191","-0.0723815","0.0153404","-0.018766","3.40878"
"2","0.0","-0.0141384","-0.0971254","0.0120672","-0.0047032","3.4514"
"3","0.0","0.00386468","-0.120558","0.00604806","-0.000570165","3.47279"
"0","0.0","0.0208507","-0.138975","0.00126623","-0.0016119","3.48515"
"2","0.0","0.0171983","-0.110247","-0.0305551","0.00696096","3.50646"
"1","0.0","0.0253124","-0.107057","-0.0389193","0.00491669","3.46688"
"0","0.0","0.0492234","-0.141067","-0.0143125","-0.00967011","3.4115"
"0","0.0","0.0341042","-0.0970123","-0.0395122","-0.000106744","3.43408"
"2","0.0","0.411118","-0.547164","0.424432","-0.461423","4.06838"
"0","1.0","0.304534","-0.716058","0.0892458","0.0660596","4.19009"
"0","0.0","0.0332112","-0.137979","-0.0242693","-0.00950915","3.49323"
"2","0.0","0.00726515","-0.134906","0.000967912","0.0346836","3.4485"
"2","1.0","-0.104094","0.312208","0.820298","-1.23017","4.84854"
"1","1.0","-0.648717","0.329495","0.102985","0.0411453","4.283"
"1","0.0","-0.484952","0.443827","-0.428004","0.31591","4.06023"
"3","1.0","0.0372974","0.0988439","-0.887272","0.388296","4.16928"
