"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0554565","-0.112129","0.0449139","-0.00140514","2.91019"
"0","0.0","0.0712681","-0.0571081","-0.0301759","-0.057005","4.35732"
"3","0.0","0.0171539","-0.000675521","0.0439003","-0.067428","5.54095"
"3","0.0","-0.767645","0.239296","0.295002","0.449312","5.91251"
"3","0.0","0.046206","0.0185157","-0.165654","0.106659","6.45712"
"0","0.0","0.0519333","-0.0239967","-0.0149077","0.0069828","6.68463"
"0","0.0","0.0760858","-0.00805155","-0.0184379","-0.0191355","6.73403"
"0","0.0","0.108544","0.0233366","-0.131772","0.0270536","6.74531"
"3","0.0","0.151447","0.19163","-0.740313","0.288405","6.3763"
"3","0.0","-0.0692622","0.034052","0.0118758","0.0548808","6.67482"
"3","0.0","-0.0679502","0.0330709","-0.00691364","0.0530959","6.80643"
"1","0.0","-0.0725501","0.0482695","-0.015391","0.046638","6.89386"
"1","0.0","-0.0251266","0.0453678","-0.0249824","0.00163403","6.92895"
"1","0.0","-0.00615824","0.0425542","-0.0178247","-0.0121569","6.92812"
"1","0.0","-0.35285","0.354746","-0.435127","0.499592","7.67867"
"3","1.0","0.11383","0.163784","-0.716287","0.293567","7.66947"
"1","0.0","-0.0126301","0.0519736","-0.052036","-0.0230228","6.90278"
"1","0.0","0.00168967","0.0295727","0.00327541","-0.0379177","6.88004"
"2","0.0","0.0242895","0.0238318","0.0248087","-0.0532803","6.87957"
"0","0.0","0.0468397","-3.82028e-05","0.029993","-0.0329881","6.92986"
"2","0.0","0.0525268","-0.00845936","0.0505029","-0.0436492","6.9213"
"2","0.0","0.0604653","-0.0172634","0.0555593","-0.0474804","6.89819"
"0","0.0","0.064698","-0.0249101","0.0545653","-0.0453683","6.87589"
"0","0.0","0.0677555","-0.0302591","0.0500046","-0.0414906","6.85936"
"0","0.0","0.0697976","-0.0337036","0.0444189","-0.0372242","6.84881"
"0","0.0","0.0711073","-0.0356793","0.0389429","-0.033248","6.84225"
"0","0.0","0.0718399","-0.036643","0.0341175","-0.0297689","6.83809"
"2","0.0","0.0130603","-0.0176805","0.0397557","0.0164829","6.87706"
"3","0.0","0.118665","0.196547","-0.719925","0.279253","6.47246"
"2","0.0","-0.0906712","0.0433411","0.0180678","0.0422057","6.75014"
"3","0.0","0.0539439","0.238858","-0.7617","0.2943","6.41157"
"1","0.0","-0.138614","0.0739794","-0.00895341","0.0501149","6.72864"
"1","0.0","-0.065645","0.050176","-0.0368566","0.0107694","6.83801"
"1","0.0","-0.030639","0.0432485","-0.0356376","-0.00316929","6.88042"
"1","0.0","-0.0129731","0.0386747","-0.0256979","-0.00510075","6.91821"
"1","0.0","0.0017876","0.0327385","-0.015549","-0.00727856","6.92856"
"1","0.0","0.0145875","0.024762","-0.00643931","-0.00956122","6.92007"
"0","0.0","0.0255517","0.0156973","0.000940384","-0.0113912","6.90351"
"0","0.0","0.0347918","0.00663996","0.00650937","-0.0127172","6.88626"
"0","0.0","0.042446","-0.00162942","0.0104909","-0.0136801","6.87156"
"0","0.0","0.0486749","-0.00872484","0.0132161","-0.0144022","6.86014"
"0","0.0","0.053658","-0.0145568","0.015009","-0.0149505","6.85166"
"0","0.0","0.0575833","-0.019207","0.0161405","-0.0153585","6.84547"
"2","0.0","0.00156428","-0.00340127","0.0265357","0.0273653","6.88269"
"3","0.0","0.110136","0.207991","-0.729391","0.286542","6.47662"
"2","0.0","-0.0974164","0.0518572","0.0115772","0.048188","6.75334"
"3","0.0","0.0489321","0.24565","-0.766256","0.298188","6.41395"
"1","0.0","-0.142504","0.0789586","-0.0120408","0.053279","6.73049"
"1","0.0","-0.0686515","0.0540118","-0.0390179","0.0130964","6.8394"
"1","0.0","-0.0329393","0.0461458","-0.0371148","-0.00148335","6.88147"
