"ACTION","REWARD","A0","A1","A2","A3","V"
"3","1.0","0.44424","0.0362859","-1.31053","0.502995","5.0417"
"2","0.0","-0.0866286","-0.100218","0.158414","-0.0513306","4.77604"
"0","0.0","0.0442886","-0.0548845","-0.0211804","-0.0277162","5.66221"
"1","0.0","0.0388377","-0.0572007","-0.0178404","0.0247598","6.28667"
"0","0.0","0.03996","-0.0418698","-0.0296506","0.0438644","6.54358"
"3","0.0","0.0295272","-0.0250574","-0.0302661","0.0535475","6.63482"
"3","0.0","0.0197417","-0.0124323","-0.0284548","0.0587157","6.6618"
"3","0.0","0.0130016","-0.00481871","-0.0258981","0.0615759","6.66942"
"3","0.0","0.00909214","-0.000949725","-0.0231102","0.0628398","6.67231"
"1","0.0","0.0138482","0.0584386","-0.0252301","0.00583811","6.67631"
"2","0.0","-0.427484","0.249595","0.220086","0.144637","7.73707"
"1","1.0","-0.615289","0.423506","0.119319","0.203699","7.71426"
"2","1.0","0.0928243","0.151216","0.327894","-0.651689","7.57925"
"2","0.0","-0.335878","0.307561","0.470379","-0.407699","7.48042"
"1","1.0","-0.640809","0.406147","0.140183","0.139787","7.63482"
"1","0.0","-0.139546","0.0925536","0.0268296","-0.0233157","6.95654"
"1","0.0","-0.0579565","0.0374598","0.00726651","-0.00779462","6.84448"
"1","0.0","-0.0209902","0.0128436","-0.00717364","0.0197041","6.81048"
"3","0.0","0.000866064","-0.0753339","0.0290649","0.0371711","6.75868"
"2","0.0","0.0104044","-0.0893495","0.0290067","0.0277064","6.77528"
"2","0.0","0.0216845","-0.106689","0.0281583","0.0187572","6.80551"
"0","0.0","0.0374243","-0.126497","0.0265515","0.0106541","6.83587"
"0","0.0","0.045595","-0.0729312","-0.0120069","0.00684229","6.88477"
"0","0.0","0.0602014","-0.0827972","-0.0161233","0.0212996","6.86809"
"2","0.0","0.0650478","-0.0815002","-0.0185452","0.0329982","6.83762"
"0","0.0","0.0601089","-0.0719899","-0.0196784","0.0428798","6.80633"
"0","0.0","0.0524145","-0.0598763","-0.0203463","0.049613","6.7775"
"0","0.0","0.0995561","-0.0467186","-0.125681","0.0770914","6.73516"
"0","0.0","0.252741","0.15785","-0.706169","0.172836","6.45976"
"0","0.0","0.401557","-0.385046","-0.242508","0.223032","7.64767"
"3","1.0","0.190068","0.0812984","-0.887039","0.367302","7.67952"
"3","1.0","0.208189","0.145058","-0.937684","0.339823","7.62634"
"3","0.0","-0.0843594","0.0314554","-0.135467","0.0919501","6.89911"
"3","0.0","-0.0794733","0.0298146","-0.060139","0.0661386","6.83081"
"3","0.0","-0.0779036","0.0294108","-0.051243","0.0851881","6.88595"
"1","0.0","-0.0761517","0.0665253","-0.0222522","0.0170771","6.76753"
"1","0.0","-0.0521238","0.0952797","-0.0358881","0.00469515","6.83127"
"1","0.0","-0.0390221","0.100989","-0.00972332","-0.00998717","6.84195"
"1","0.0","-0.450197","0.270835","0.227778","0.133195","7.82515"
"2","1.0","-0.0243782","0.0687999","0.210534","-0.260035","7.94131"
"2","0.0","-0.075707","0.0717628","0.102263","-0.0701922","6.95076"
"3","0.0","-0.0540498","0.067953","0.0965481","-0.0693473","6.89239"
"2","0.0","-0.01209","0.032909","0.0744473","-0.0450255","6.83452"
"2","0.0","0.00690993","0.00676294","0.0603478","-0.0194236","6.78831"
"2","0.0","0.0154436","-0.00716978","0.0467282","0.00031361","6.74886"
"2","0.0","0.0191528","-0.0139798","0.0343562","0.0150542","6.72192"
"3","0.0","0.0206101","-0.0168685","0.0237818","0.0260233","6.70496"
"3","0.0","0.0208425","-0.0175766","0.0152373","0.0342174","6.69483"
"3","0.0","0.0203695","-0.0170926","0.0085987","0.0403582","6.68893"
"3","0.0","0.0195188","-0.0160123","0.00358263","0.044959","6.6855"
