"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","-0.038069","-0.0977621","0.115768","0.0370338","3.06701"
"2","0.0","-0.00464135","-0.036591","0.0241072","-0.0298387","4.58418"
"2","0.0","-0.0519913","-0.0177095","0.0853428","0.0145049","5.85294"
"2","0.0","-0.0953853","0.0223293","0.101775","0.0462969","6.61434"
"2","0.0","-0.107133","0.0545394","0.0985458","0.043126","6.93219"
"3","0.0","-0.111269","0.0616168","0.0476625","0.0628052","6.90903"
"2","0.0","-0.128957","0.07189","0.0879297","0.0431582","7.02945"
"3","0.0","-0.122792","0.0545791","0.0361494","0.0674239","6.92781"
"2","0.0","-0.132111","0.0581679","0.0741369","0.049464","7.03791"
"3","0.0","-0.124843","0.0413064","0.0230338","0.0761976","6.94726"
"2","0.0","-0.132714","0.0483621","0.0618508","0.0573049","7.06269"
"3","0.0","-0.124921","0.0343063","0.012557","0.0830506","6.97069"
"3","0.0","-0.132372","0.0437151","0.0530724","0.0629466","7.08113"
"3","0.0","-0.126856","0.0384593","0.0584251","0.0625134","7.11228"
"3","0.0","-0.122929","0.0394119","0.065249","0.0615835","7.13586"
"2","0.0","-0.124496","0.0434034","0.0744553","0.0601666","7.15875"
"2","0.0","-0.124802","0.0471843","0.0825793","0.0559888","7.17028"
"2","0.0","-0.124513","0.0496101","0.0897912","0.0511307","7.1736"
"2","0.0","-0.123896","0.050806","0.0958366","0.0465863","7.17296"
"3","0.0","-0.120385","0.0443747","0.0483049","0.0669944","7.04407"
"0","0.0","-0.131698","0.0533733","0.0872582","0.0450557","7.12514"
"2","0.0","-0.123918","0.0446536","0.0875872","0.042443","7.12961"
"3","0.0","-0.116473","0.0348703","0.0367892","0.0676342","7.01118"
"2","0.0","-0.129629","0.0457092","0.0763083","0.0496302","7.11174"
"3","0.0","-0.120602","0.0324597","0.0248818","0.0733766","7.00061"
"2","0.0","-0.128167","0.0414576","0.0633232","0.0541137","7.09737"
"3","0.0","-0.120598","0.028673","0.0139131","0.0800693","6.99356"
"3","0.0","-0.128664","0.0392495","0.0540593","0.0606755","7.09638"
"3","0.0","-0.123783","0.0349709","0.0591396","0.060802","7.12299"
"1","0.0","-0.120438","0.0367367","0.0657094","0.0603384","7.14366"
"3","0.0","-0.065218","0.0218263","0.0393552","0.0456709","7.15452"
"2","0.0","-0.0534177","0.01645","0.0509637","0.0391187","7.14909"
"2","0.0","-0.0417928","0.00904262","0.0566704","0.0379483","7.13393"
"2","0.0","-0.0311848","0.000254632","0.0610665","0.0372739","7.11556"
"2","0.0","-0.0218542","-0.00838673","0.0640892","0.0365477","7.09855"
"1","0.0","0.00721766","-0.0466506","0.0317969","0.0263821","7.09657"
"1","0.0","0.00774668","-0.04768","0.00449532","0.0192759","7.12336"
"3","0.0","0.00793697","-0.0618931","-0.0141884","0.0209364","7.14158"
"3","0.0","-0.0106945","-0.045016","-0.002087","0.0365942","7.15106"
"3","1.0","0.268721","0.095691","-0.850947","0.309798","8.00868"
"3","0.0","-0.00472744","-0.0685814","-0.0835262","0.115732","7.25607"
"3","0.0","-0.00330291","-0.0768096","-0.0165801","0.0867627","7.17396"
"3","0.0","0.0112501","-0.0746606","0.00750617","0.0704595","7.17294"
"3","0.0","0.0155505","-0.0666415","0.0217327","0.0615517","7.15673"
"3","0.0","0.0151926","-0.0588878","0.0319518","0.056221","7.1282"
"2","0.0","-0.00335276","0.00947649","0.0695371","-0.0230785","7.0751"
"2","0.0","0.010439","-0.0335563","0.0659317","0.0297642","7.12838"
"0","0.0","0.00791128","-0.0384735","0.0801074","0.0264941","7.10794"
"2","0.0","0.0121871","-0.0420179","0.0827349","0.0222398","7.09374"
"2","0.0","0.0140676","-0.0444842","0.0824383","0.021267","7.08002"
