"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","0.453068","-0.565691","0.485112","-0.464874","1.33428"
"0","1.0","0.329287","-0.784266","0.0654713","0.189426","1.59624"
"1","0.0","0.018121","0.0617454","-0.030081","-0.0932657","0.745921"
"2","0.0","-0.00368973","0.0137396","0.0484179","-0.0555987","0.741829"
"0","0.0","0.0372027","-0.0211114","0.0255502","-0.0422059","0.70272"
"0","0.0","0.0290076","-0.0182064","-0.0014192","-0.0126081","0.705133"
"3","0.0","0.0162953","-0.0162681","-0.0218485","0.0139683","0.706189"
"3","0.0","-0.0399379","0.0264983","-0.020583","0.0500218","0.724246"
"3","0.0","-0.0441169","0.0302854","-0.010612","0.0549541","0.697006"
"3","0.0","-0.0421498","0.0328973","-0.00298933","0.0540818","0.668181"
"3","0.0","-0.0387343","0.0356365","0.00246232","0.0516588","0.643384"
"1","0.0","-0.0497992","0.0458256","0.031256","0.0367369","0.605297"
"1","0.0","0.233244","0.323283","0.21992","-0.774948","0.318878"
"1","0.0","0.099915","0.426994","-0.930929","0.220796","0.284395"
"3","0.0","-0.0637635","-0.00741497","-0.0908581","0.00812868","0.55955"
"1","0.0","-0.0370203","0.00431322","-0.057712","-0.0195956","0.541512"
"2","0.0","-0.0231925","-0.00311628","-0.0286829","-0.0242936","0.517438"
"1","0.0","-0.00984257","-0.013443","-0.0139772","-0.0191937","0.524884"
"2","0.0","0.00180926","-0.0210995","-0.00472521","-0.0158401","0.536803"
"0","0.0","0.0118765","-0.0276567","0.00171983","-0.0141061","0.548857"
"3","0.0","-0.895189","0.332967","0.320023","0.427289","0.231998"
"3","0.0","-0.0202893","0.00978807","-0.016363","0.0732919","0.499121"
"1","0.0","0.0132358","0.0191181","0.0135655","0.0114169","0.549601"
"2","0.0","0.0117167","0.00876009","0.0300604","0.00154376","0.542439"
"2","0.0","0.0162012","-0.00458872","0.0295561","0.000267117","0.552277"
"2","0.0","0.0222839","-0.0151637","0.0260409","-0.00263469","0.56145"
"2","0.0","0.0282398","-0.0241485","0.0227924","-0.00589015","0.56938"
"0","0.0","0.0333778","-0.0316012","0.0201957","-0.00875158","0.576023"
"0","0.0","0.0337998","-0.0230526","0.00931786","-0.000475753","0.609058"
"0","0.0","0.0278826","-0.0084878","0.00725577","0.00232996","0.611417"
"0","0.0","0.0211828","0.00318367","0.00784552","0.00624428","0.606928"
"1","0.0","0.014783","0.0129847","0.00884867","0.0104166","0.599785"
"1","0.0","0.00919655","0.0210641","0.0099021","0.0142399","0.592081"
"1","0.0","0.00457069","0.0276397","0.0108721","0.0174893","0.584726"
"1","0.0","0.00087396","0.0329465","0.0117148","0.0201375","0.578118"
"1","0.0","0.00211125","0.0222385","0.0216108","0.0116102","0.545067"
"2","0.0","0.00918866","0.00612509","0.0227655","0.00869988","0.542553"
"1","0.0","0.0168645","-0.00681603","0.021607","0.0047208","0.546881"
"2","0.0","0.0240204","-0.0175916","0.0202704","0.000534487","0.553832"
"0","0.0","0.0476381","-0.0405573","0.00585212","0.000691447","0.514441"
"0","0.0","0.0686114","-0.0538633","-0.0203007","0.000307238","0.577782"
"0","0.0","0.0542726","-0.0462958","-0.0395358","0.0163452","0.609271"
"3","0.0","0.0375528","-0.041628","-0.052265","0.0335854","0.631911"
"3","0.0","-0.0220152","0.00416074","-0.0448643","0.0634539","0.665994"
"0","0.0","-0.0290223","0.0111147","-0.0298397","0.0640345","0.652448"
"3","0.0","-0.0295361","0.0167927","-0.0181089","0.0601796","0.634115"
"3","0.0","-0.0282629","0.02236","-0.00934115","0.0556866","0.617439"
"3","0.0","-0.0262433","0.0275524","-0.00283213","0.0513753","0.603369"
"1","0.0","-0.0389217","0.0397225","0.0269646","0.0354433","0.574215"
"1","0.0","0.242341","0.31897","0.21685","-0.777062","0.295495"
