"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0452636","-0.110755","0.0398747","0.0148729","2.96046"
"0","0.0","0.0442832","-0.0406797","-0.0188888","-0.0550846","4.39852"
"0","0.0","0.0280419","-0.026817","0.0168758","-0.0270287","5.61318"
"2","0.0","0.000847672","-0.014084","0.0426694","0.00237178","6.38337"
"2","0.0","-0.000629597","0.000120395","0.0368549","0.00777885","6.72622"
"0","0.0","0.017076","0.0143218","-0.0515586","-0.0180862","6.87213"
"0","0.0","0.00691079","0.0129965","-0.0881992","-0.0231206","6.98302"
"0","0.0","0.00119156","-0.0124449","-0.11829","-0.0145974","7.04153"
"3","0.0","-0.0704696","-0.0150865","-0.107616","0.0653284","6.96711"
"3","0.0","-0.0847363","-0.0512093","-0.0651655","0.10003","7.07286"
"3","0.0","-0.092851","-0.0290456","-0.0729384","0.107684","7.12244"
"3","0.0","-0.104147","0.00634944","-0.0688121","0.105727","7.16507"
"3","0.0","-0.119638","0.039056","-0.0536769","0.0992336","7.20003"
"3","0.0","-0.131494","0.0652306","-0.0364241","0.0885107","7.21341"
"1","0.0","-0.14019","0.0840053","-0.0197699","0.077306","7.21322"
"1","0.0","-0.0974797","0.0919911","-0.0394289","0.0448536","7.18555"
"1","0.0","-0.0755366","0.0755743","-0.0196594","0.0294051","7.12374"
"1","0.0","-0.0532494","0.0497375","-0.00460814","0.0168722","7.03942"
"1","0.0","0.150359","0.230601","-0.70305","0.197536","6.79501"
"1","1.0","-0.762576","0.452996","0.146594","0.277346","7.85788"
"1","0.0","-0.140023","0.0874375","0.0167026","0.00515128","7.09923"
"1","1.0","-0.729584","0.397327","0.143642","0.244212","7.70345"
"2","0.0","-0.132135","-0.0256088","0.040937","0.0320659","6.93986"
"3","0.0","-0.085722","-0.0842963","0.00149952","0.0542046","6.99058"
"3","0.0","-0.0264056","-0.114115","-0.0157755","0.0338586","6.99434"
"3","0.0","0.00183206","-0.145408","-0.0129002","0.0285391","7.03889"
"0","0.0","0.0247446","-0.128895","0.0212509","-0.00586512","6.98696"
"0","0.0","0.0419118","-0.0556402","0.00661254","-0.0551838","7.03615"
"2","0.0","-0.583311","0.227857","0.3451","0.128522","6.72428"
"2","0.0","-0.0615757","0.0137294","0.0706449","-0.000122415","6.96885"
"2","0.0","0.023754","-0.0593335","0.0368804","0.00963189","7.05674"
"0","0.0","0.0468814","-0.0561921","0.0358893","-0.00971227","7.03532"
"2","0.0","-0.551651","0.146718","0.282678","0.285954","6.73059"
"2","0.0","-0.0329474","-0.0137604","0.0440149","0.0388445","6.8775"
"1","0.0","0.0310232","-0.0641926","0.0163619","0.0318129","6.95407"
"0","0.0","0.0450197","-0.0517026","0.0160321","0.0073857","6.94318"
"0","0.0","0.0413241","-0.0453033","0.0192533","0.0056973","6.94215"
"0","0.0","0.0381197","-0.041403","0.0200689","0.00666906","6.93718"
"3","0.0","0.274016","-0.239326","-0.363794","0.336499","7.73269"
"0","1.0","0.383729","-0.789472","0.116735","0.120346","7.80987"
"0","0.0","0.0658416","-0.143468","-0.0345385","0.0519683","7.02519"
"1","0.0","-0.00072688","-0.0775281","-0.0230145","0.0705211","7.08363"
"3","0.0","0.0267961","-0.0673705","-0.0239739","0.0472627","7.03575"
"3","0.0","0.024571","-0.0581351","-0.0183393","0.0464515","7.01089"
"3","0.0","0.0210398","-0.046436","-0.0142777","0.0433937","6.98561"
"3","0.0","0.0173727","-0.0377126","-0.00894953","0.0401063","6.96983"
"2","0.0","0.00172898","0.00438136","0.0296979","-0.0193453","6.91452"
"3","0.0","0.0118556","-0.0154162","0.00723774","0.0271422","6.95639"
"2","0.0","-0.00489741","0.0197645","0.0556591","-0.0364763","6.9211"
"2","0.0","0.0111582","-0.0049471","0.0327762","0.00634244","6.96286"
