"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","0.00544541","-0.0103734","0.030301","0.0107217","1.08438"
"0","0.0","0.465326","-0.628981","0.495012","-0.375271","2.02111"
"2","1.0","0.293458","0.10428","0.364255","-0.828623","2.36456"
"2","0.0","-0.447486","0.310739","0.511368","-0.412068","2.41165"
"1","1.0","-0.730207","0.332469","0.209006","0.0796168","2.57409"
"2","0.0","-0.0845904","0.0133353","0.0460066","-0.123384","1.86799"
"0","0.0","-0.00659967","-0.00890998","0.011087","-0.109407","1.78609"
"0","0.0","0.0168643","-0.00970002","0.0112578","-0.0962657","1.7611"
"0","0.0","0.0222113","-0.00143695","0.0141714","-0.0811266","1.74809"
"0","0.0","0.0185275","0.00964201","0.0166482","-0.0647418","1.73642"
"0","0.0","0.0108241","0.0207204","0.0184851","-0.0491622","1.72539"
"1","0.0","0.00205243","0.030525","0.0200138","-0.0357891","1.715"
"1","0.0","-0.00622131","0.038661","0.0215123","-0.0251938","1.70539"
"1","0.0","-0.0132709","0.0451482","0.0231465","-0.0174005","1.69668"
"1","0.0","-0.0188563","0.0501785","0.0249809","-0.0121317","1.68893"
"1","0.0","-0.023005","0.0539955","0.0270072","-0.00897533","1.68215"
"1","0.0","-0.025879","0.0568392","0.0291746","-0.00748775","1.6763"
"1","0.0","-0.474962","0.411727","0.426733","-0.333439","2.49986"
"2","1.0","0.18777","0.1732","0.27214","-0.805814","2.50828"
"2","0.0","-0.0609182","-0.0705694","0.19155","-0.14703","1.76316"
"3","0.0","-0.0463977","-0.0152069","-0.028978","-0.025511","1.60166"
"3","0.0","0.00375098","-0.062758","0.0930241","-0.109149","1.65629"
"2","0.0","0.00515172","-0.0685525","0.111408","-0.108666","1.71903"
"2","0.0","0.0191038","-0.0901052","0.117719","-0.103758","1.74494"
"0","0.0","0.0352654","-0.0822235","-0.0233658","-0.0283776","1.63184"
"0","0.0","0.0327348","-0.0657796","-0.0577045","-0.0459731","1.67969"
"0","0.0","0.0307552","-0.0567719","-0.0974979","-0.0448415","1.73791"
"0","0.0","0.022681","-0.0550832","-0.13301","-0.0238844","1.76761"
"0","0.0","0.00754063","-0.0534556","-0.166586","0.00925555","1.7888"
"3","0.0","-0.0111016","-0.0518309","-0.197341","0.0472698","1.80571"
"3","0.0","0.00544445","-0.0633878","-0.174712","0.0654865","1.87856"
"3","0.0","-0.0159301","-0.069944","-0.162479","0.119853","1.86835"
"3","0.0","-0.0323037","-0.0635321","-0.156406","0.155134","1.85151"
"1","0.0","-0.0442874","-0.0511324","-0.145368","0.170717","1.8326"
"3","0.0","-0.0524669","-0.0364109","-0.130322","0.172627","1.8135"
"3","0.0","-0.057267","-0.0215441","-0.112941","0.165525","1.79489"
"3","0.0","-0.0592957","-0.00766692","-0.0946488","0.152863","1.77724"
"3","0.0","-0.552907","0.51609","-0.474148","0.558561","2.48531"
"1","1.0","-0.795284","0.332753","0.27715","0.233198","2.6082"
"2","0.0","-0.129991","0.0117765","0.0559883","0.0243754","1.87383"
"3","0.0","-0.0656321","0.00701026","-0.0376967","0.0597117","1.85251"
"2","0.0","-0.0274801","-0.00549754","0.0615675","-0.0382049","1.77621"
"1","0.0","-0.0243727","0.0142547","-0.000502703","0.0102615","1.80997"
"1","0.0","-0.0115175","0.014068","0.00704999","0.00371074","1.78102"
"1","0.0","-0.0109403","0.0223876","0.0133831","0.000839977","1.76164"
"2","0.0","-0.0153913","-0.0220582","0.109855","-0.0240115","1.70874"
"3","0.0","-0.0270746","-0.0202132","0.124305","-0.0296992","1.71975"
"2","0.0","-0.021223","-0.0376624","0.133831","-0.0403631","1.72783"
"2","0.0","-0.00848823","-0.0589563","0.136857","-0.0519679","1.73878"
"0","0.0","0.170263","0.0905926","-0.460331","0.0791045","1.48873"
