"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","-0.0115026","0.0302306","0.0581859","-0.0435159","0.831734"
"2","1.0","0.307338","0.0830396","0.363463","-0.796062","2.07255"
"1","0.0","0.44448","-0.447552","0.406126","-0.453828","2.06029"
"2","0.0","-0.00854866","-0.0558097","0.101335","-0.0862044","1.4664"
"2","0.0","-0.548711","0.458564","0.507262","-0.45212","2.23937"
"1","1.0","-0.805085","0.313432","0.151927","0.199598","2.44416"
"1","0.0","-0.0915882","0.0443991","-0.028994","-0.070444","1.5028"
"1","0.0","-0.0491613","0.0334697","0.0137106","-0.0919721","1.35598"
"1","0.0","-0.0327894","0.035311","0.0255639","-0.0851114","1.33092"
"1","0.0","-0.0210738","0.0389068","0.0288168","-0.0748985","1.32269"
"1","0.0","-0.0136298","0.0427109","0.0309691","-0.0652172","1.31582"
"2","0.0","-0.00638148","-0.0146133","0.0418012","-0.0134333","1.30839"
"3","0.0","-0.00419711","-0.0336635","0.0515871","-0.0123745","1.32198"
"2","0.0","0.0060194","-0.0574652","0.0540692","-0.0177918","1.33302"
"2","0.0","0.0199191","-0.0818504","0.0523712","-0.0256608","1.34193"
"0","0.0","0.254032","0.0573975","-0.697437","0.172791","0.951281"
"2","0.0","0.0217499","-0.182316","0.0461647","-0.0261669","1.23431"
"0","0.0","0.208774","-0.768656","0.1975","0.1758","0.977255"
"0","0.0","0.0846979","-0.0703794","-0.020012","-0.104095","1.23276"
"0","0.0","0.0526247","-0.0482285","0.00209445","-0.0679807","1.27638"
"0","0.0","0.495236","-0.505202","0.428701","-0.519937","2.14136"
"2","1.0","0.28552","0.0132556","0.355955","-0.797593","2.37872"
"0","0.0","0.0102826","-0.051091","-0.0300834","-0.0487366","1.4401"
"1","0.0","-0.0117661","-0.0154997","-0.0478483","-0.0488962","1.34845"
"1","0.0","-0.0155796","0.00486769","-0.0677019","-0.0437384","1.33642"
"1","0.0","-0.0176708","0.01492","-0.0822726","-0.0314857","1.34308"
"1","0.0","-0.0193368","0.0195141","-0.0930273","-0.0169457","1.3516"
"1","0.0","-0.020771","0.0212897","-0.101167","-0.00269184","1.35901"
"3","0.0","-0.0144073","-0.00945491","-0.0796607","0.0122357","1.31109"
"3","0.0","0.170526","-0.707683","0.145292","0.264691","1.03529"
"3","0.0","0.0416033","-0.14649","-0.0313667","0.057069","1.24858"
"3","0.0","-0.00575271","-0.0114602","-0.0407388","0.025414","1.30367"
"3","0.0","-0.0210063","0.000337214","-0.029757","0.0439533","1.3195"
"3","0.0","-0.0251535","0.00867437","-0.0233998","0.0501879","1.31928"
"3","1.0","0.0754857","0.0863914","-0.894808","0.536523","2.39083"
"3","0.0","-0.0497962","-0.0257521","-0.105531","0.0934039","1.47641"
"1","0.0","-0.0403349","0.0273818","-0.0250742","-0.0224917","1.33368"
"2","0.0","-0.0265521","-0.018116","0.0481611","-0.0335055","1.25863"
"2","0.0","-0.00224078","-0.0292536","0.0203552","-0.0138884","1.33507"
"2","0.0","0.0057647","-0.0477812","0.0360728","-0.020572","1.34373"
"2","0.0","0.016922","-0.0689025","0.0449749","-0.0297742","1.35073"
"2","0.0","0.0300747","-0.0905754","0.0478469","-0.0383763","1.35538"
"2","0.0","0.0434981","-0.111214","0.0471723","-0.0456145","1.3584"
"0","0.0","0.274608","0.0326184","-0.699978","0.154574","0.963737"
"2","0.0","0.0408705","-0.203755","0.0425303","-0.0402525","1.2424"
"0","0.0","0.223836","-0.785338","0.195221","0.164215","0.983413"
"0","0.0","0.0981805","-0.0850075","-0.0219789","-0.113137","1.23713"
"0","0.0","0.0633873","-0.0600309","0.000525122","-0.0748347","1.27967"
"0","0.0","0.0467037","-0.0411558","0.00360485","-0.048101","1.29733"
"0","0.0","0.0359555","-0.0259523","0.00568657","-0.0313621","1.2992"
