"ACTION","REWARD","A0","A1","A2","A3","V"
"2","1.0","-0.038768","0.0487347","0.305883","-0.262191","4.6097"
"2","0.0","-0.0424832","-0.0249004","0.0400127","-0.000905141","3.95496"
"2","0.0","-0.00555944","0.0171655","0.0110659","-0.0145384","4.65029"
"2","0.0","-0.00515111","0.002361","0.0433135","-0.0192562","5.05685"
"2","0.0","0.0180468","-0.00818288","0.0295648","-0.0112987","5.24547"
"2","0.0","0.296914","-0.303277","0.311486","-0.27983","6.23645"
"2","1.0","0.375617","-0.440537","0.469833","-0.543012","7.12025"
"3","0.0","0.0423503","-0.0821813","-0.0085454","0.044354","6.59838"
"0","1.0","0.192078","-0.617302","0.118193","0.0532197","6.38764"
"3","0.0","0.0313257","-0.123694","-0.0514119","0.0112467","5.53091"
"3","0.0","0.00509164","-0.0801972","-0.0562945","0.0600631","5.58671"
"3","0.0","0.0236502","-0.0819021","-0.0363294","0.0560095","5.58431"
"3","0.0","0.0264773","-0.0680188","-0.0233983","0.0519926","5.57089"
"3","0.0","0.0216933","-0.0489086","-0.0136519","0.0476315","5.55134"
"3","0.0","0.0163955","-0.0315863","-0.0063144","0.0430979","5.52771"
"1","0.0","-0.00516758","0.044851","0.0242408","-0.0349649","5.46212"
"2","0.0","-0.0186195","0.0593236","0.0507852","-0.0541461","5.46073"
"2","0.0","-0.012257","0.012367","0.0475975","-0.000325646","5.50849"
"2","0.0","-0.00891523","0.0194535","0.0468739","-0.00574145","5.50239"
"1","0.0","-0.00279924","0.0184389","0.0482245","-0.00961297","5.49198"
"2","0.0","0.00261537","0.0153485","0.0459707","-0.00908597","5.47871"
"2","0.0","0.00705367","0.012298","0.0412434","-0.0060126","5.46542"
"2","0.0","0.0102446","0.00990919","0.0359703","-0.00190248","5.45376"
"2","0.0","0.0123476","0.0082472","0.0311016","0.00237979","5.4443"
"2","1.0","0.0976385","0.280189","0.333356","-0.725296","6.29729"
"2","0.0","-0.0220101","-0.0104004","0.021196","-0.0418277","5.37577"
"3","0.0","0.0171193","-0.0202207","-0.0919858","0.0149314","5.41061"
"0","0.0","0.0368022","-0.0350185","-0.047804","-0.00138141","5.55733"
"3","0.0","0.0252721","-0.0459663","-0.0414111","0.0302809","5.56237"
"3","0.0","0.0264529","-0.0411323","-0.0475724","0.0496036","5.54117"
"3","0.0","0.0195458","-0.0286365","-0.0411609","0.0575811","5.5242"
"3","0.0","0.0142442","-0.0168288","-0.0315844","0.0581363","5.50521"
"3","0.0","0.0101711","-0.00701956","-0.0215936","0.0553089","5.48694"
"3","0.0","0.00736473","0.000380642","-0.012492","0.050992","5.4708"
"3","0.0","0.00569363","0.00555013","-0.00483743","0.0462851","5.4573"
"1","0.0","-0.0122234","0.0717041","0.0261302","-0.0324567","5.40704"
"1","0.0","-0.0227666","0.0779035","0.0528198","-0.0519074","5.41837"
"2","0.0","-0.0523237","-0.00027059","0.183822","-0.0532908","5.32736"
"2","0.0","-0.0302327","-0.0348722","0.135947","-0.0257749","5.43379"
"2","0.0","-0.0253582","-0.0427187","0.121015","-0.0370571","5.51944"
"2","0.0","-0.00767627","-0.0685793","0.112418","-0.0499506","5.57975"
"2","0.0","0.0122765","-0.0966616","0.0999274","-0.0565197","5.62213"
"2","0.0","0.0306338","-0.121469","0.0854686","-0.0584356","5.65235"
"2","0.0","0.0461411","-0.141671","0.0713691","-0.0575962","5.67425"
"2","0.0","0.0585066","-0.157333","0.0589044","-0.055287","5.69047"
"0","0.0","0.0545397","-0.173493","-0.0361031","0.0198049","5.5203"
"0","0.0","0.113035","-0.138322","-0.131395","-0.00658082","5.51868"
"3","0.0","0.121611","-0.145819","-0.134512","-0.00489737","5.54321"
"0","0.0","0.126445","-0.141426","-0.0914736","-0.0110725","5.69299"
"0","0.0","0.0965991","-0.127591","-0.0844858","0.0269088","5.68461"
