"ACTION","REWARD","A0","A1","A2","A3","V"
"1","0.0","0.0241627","-0.11564","0.127568","0.0013016","2.64899"
"2","0.0","0.0101759","-0.0261843","0.105238","-0.0624781","3.8928"
"2","0.0","0.0125332","-0.0707332","0.127319","-0.0427552","5.10549"
"2","0.0","-0.006148","-0.0692213","0.118626","-0.0288663","5.77923"
"2","0.0","0.00135774","-0.0828234","0.0939908","-0.0217531","6.11257"
"2","0.0","0.0142971","-0.102167","0.0725389","-0.0173085","6.26445"
"2","1.0","0.261249","0.128659","0.647488","-1.11675","7.84688"
"0","1.0","0.235198","-0.302","0.00827512","-0.162175","7.31464"
"0","0.0","0.0357779","-0.0952076","0.045403","-0.101635","6.47185"
"0","0.0","0.0803346","-0.122131","-0.00293023","-0.0343789","6.31418"
"0","0.0","0.0931113","-0.130092","-0.0128051","0.0106596","6.3013"
"0","0.0","0.41494","-0.36581","0.303383","-0.360789","7.13297"
"2","1.0","0.175816","0.101799","0.434229","-0.754737","7.02723"
"2","0.0","0.0273582","-0.120013","0.158067","-0.0594908","6.27104"
"0","0.0","0.0513497","-0.0891873","-0.0132209","-0.0150134","6.1134"
"0","1.0","0.705494","-1.26481","-0.0155392","0.423937","7.79114"
"3","1.0","0.0501074","-0.155012","-0.300018","0.217384","7.21835"
"3","0.0","-0.00116836","-0.0870576","-0.0594874","0.0534984","6.35596"
"3","0.0","0.0175649","-0.0782525","-0.0752865","0.0777323","6.3363"
"3","0.0","0.0268873","-0.0759312","-0.0744772","0.0997355","6.30857"
"3","0.0","0.0208698","-0.0623891","-0.0584386","0.107265","6.29817"
"3","1.0","0.233635","0.0340842","-0.823665","0.424402","7.08924"
"3","0.0","-0.0207978","-0.026102","-0.0424037","0.100558","6.37035"
"2","0.0","0.170519","0.160854","0.267539","-0.667018","5.96559"
"3","0.0","-0.00135557","-0.0334917","-0.00693833","0.0573435","6.19829"
"2","0.0","0.174714","0.160007","0.241254","-0.645423","5.87819"
"3","0.0","-0.0102908","-0.0232365","-0.0181136","0.0742524","6.13264"
"2","0.0","0.161253","0.173984","0.243179","-0.639014","5.84304"
"3","0.0","-0.0243425","-0.00903174","-0.0165417","0.0816778","6.11464"
"2","0.0","0.149023","0.186143","0.24597","-0.634401","5.83548"
"3","0.0","-0.0344436","0.00134071","-0.0138866","0.0848158","6.11107"
"2","0.0","0.141081","0.194218","0.248276","-0.632473","5.83403"
"3","0.0","-0.0405772","0.00779591","-0.0117392","0.08573","6.11028"
"2","0.0","0.136473","0.199032","0.249934","-0.632032","5.83373"
"3","0.0","-0.0440243","0.0114967","-0.0102681","0.0857475","6.11013"
"2","0.0","0.13396","0.201726","0.251027","-0.632162","5.83377"
"3","0.0","-0.0458634","0.0135143","-0.00931883","0.0854811","6.1102"
"2","0.0","0.132652","0.203169","0.251714","-0.632433","5.83392"
"3","0.0","-0.0468024","0.0145722","-0.00872741","0.0851867","6.11034"
"2","0.0","0.132","0.203913","0.252132","-0.632684","5.83406"
"3","0.0","-0.0472611","0.015107","-0.00837094","0.0849504","6.11046"
"2","0.0","0.131689","0.204284","0.252378","-0.632873","5.83417"
"3","0.0","-0.0474743","0.0153675","-0.00816312","0.0847856","6.11055"
"2","0.0","0.131549","0.204461","0.252518","-0.632999","5.83424"
"3","0.0","-0.0475674","0.0154893","-0.00804565","0.0846796","6.1106"
"2","0.0","0.131491","0.204542","0.252596","-0.633078","5.83428"
"3","0.0","-0.0476044","0.0155435","-0.00798113","0.0846152","6.11063"
"2","0.0","0.13147","0.204577","0.252638","-0.633126","5.83431"
"3","0.0","-0.0476168","0.0155661","-0.00794652","0.0845778","6.11065"
"2","0.0","0.131463","0.204591","0.25266","-0.633152","5.83432"
