"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0386284","-0.0376165","0.024036","0.00260914","1.78364"
"0","0.0","0.428843","-0.503347","0.370469","-0.359644","3.21209"
"2","1.0","-0.168806","0.191542","0.395696","-0.502885","3.63611"
"2","0.0","0.00113015","-0.00908668","0.0365718","-0.0820303","3.30557"
"0","0.0","0.420601","-0.472987","0.361415","-0.418573","3.92662"
"2","1.0","0.116888","0.0635313","0.302175","-0.673223","4.16016"
"0","0.0","0.278297","0.10122","-0.853715","0.128639","3.24313"
"0","0.0","0.0593742","-0.111193","0.00933146","-0.0896284","3.46436"
"2","0.0","-0.0273047","-0.0752312","0.0110488","0.0165269","3.50545"
"3","0.0","-0.0475306","-0.0799016","-0.0574417","0.113936","3.34016"
"3","0.0","-0.0870743","-0.0047653","-0.0406813","0.0954538","3.45294"
"3","0.0","-0.0804742","-0.00739188","-0.025955","0.105856","3.49874"
"3","0.0","-0.0948979","0.0104531","-0.0172547","0.115372","3.561"
"3","0.0","-0.10801","0.0296631","-0.0114189","0.117918","3.59639"
"3","0.0","-0.11809","0.0465005","-0.00541922","0.115429","3.61525"
"3","0.0","-0.125888","0.0600989","0.000578848","0.110861","3.62473"
"1","0.0","-0.131741","0.0704178","0.0060069","0.105833","3.62892"
"1","0.0","-0.0799113","0.0456083","-0.00927294","0.0760412","3.63652"
"1","0.0","-0.0725055","0.0438406","-0.0167933","0.0706008","3.61113"
"1","0.0","-0.0601054","0.0353907","-0.0172938","0.0599299","3.57988"
"1","0.0","-0.286418","0.360991","0.314091","-0.395677","4.09422"
"2","1.0","0.0334746","0.169675","0.295742","-0.685727","4.21141"
"0","1.0","0.325203","-0.644923","0.0312754","0.0923269","4.19357"
"3","0.0","-0.019421","-0.069122","-0.0137278","0.0297747","3.60508"
"2","0.0","0.00105042","-0.0744108","0.0177736","0.00418242","3.58125"
"3","0.0","0.00793417","-0.0864809","-0.00126563","0.0306123","3.56122"
"3","0.0","0.0161213","-0.0869577","-0.0156526","0.0396139","3.53448"
"0","0.0","0.00378845","-0.0275129","-0.00985581","-0.00892742","3.46222"
"2","0.0","-0.000945834","0.00276182","0.0148786","-0.0400387","3.47591"
"0","0.0","0.009734","-0.0254777","0.0299349","-0.0152167","3.55449"
"2","0.0","0.0126341","-0.0314542","0.0297462","-0.00689787","3.55734"
"2","0.0","0.0179343","-0.0379076","0.0265024","-0.00415273","3.54562"
"0","0.0","0.267653","0.124332","-0.891393","0.258195","3.22033"
"2","0.0","0.0327078","-0.0897202","0.014418","-0.0238924","3.43927"
"3","0.0","0.146392","-0.677593","0.189694","0.266006","3.23643"
"0","0.0","0.0313423","-0.0601574","-0.0397841","0.011721","3.45624"
"3","0.0","-0.0298616","-0.0341878","-0.00611497","0.0548762","3.46894"
"3","0.0","-0.0450391","-0.0209493","0.00205326","0.0657395","3.5053"
"3","0.0","-0.0597047","-0.00552945","0.00486337","0.0755242","3.53036"
"1","0.0","-0.0836014","0.0742702","0.0298352","-0.00181553","3.3989"
"1","0.0","-0.05454","0.0513682","0.0232274","-0.00173984","3.48827"
"3","0.0","-0.0605748","0.0864336","0.0356888","-0.0280797","3.54052"
"1","0.0","-0.0586719","0.103549","0.0623474","-0.0601037","3.5768"
"1","0.0","-0.0521285","0.108734","0.0895018","-0.0896719","3.59845"
"2","0.0","-0.0434887","0.107053","0.11307","-0.115082","3.61149"
"2","0.0","-0.0183004","0.0521904","0.12216","-0.0891375","3.66948"
"2","0.0","-0.00400281","0.0225746","0.110307","-0.0748255","3.6489"
"1","0.0","0.00955286","-0.00257293","0.0934451","-0.0636793","3.61534"
"2","0.0","0.019035","-0.0222052","0.0737845","-0.0505887","3.58008"
"2","0.0","0.0251374","-0.0367465","0.0539009","-0.0363127","3.54894"
